OriginalContentRepo,OriginalContentBranch
microsoftdocs/mim-docs-powershell,live
sharepoint/sp-dev-docs-pnp-ref-dotnet,live
openpublish/azure-content,live
microsoftdocs/rtos-docs-pr,live
microsoftdocs/dynamics365-docs-odata-apis,live
microsoftdocs/product-insights-pr,live
microsoftdocs/composer-docs-pr,live
officedev/office-scripts-docs,live
microsoftdocs/mobile-blazor-bindings,live
microsoftdocs/dynamics365-docs-rest-apis,live
microsoftdocs/groove-api-documentation,live
onedrive/onedrive-api-docs,d3ce0cb4a2f3d0a4c5f44fa8801300cedad1e7a4
onedrive/onedrive-api-docs,live
microsoftdocs/xbox-gamebar-pr,live
microsoftdocs/wsl,live
microsoftdocs/gateway-docs-powershell,live
sharepoint/sp-dev-docs-ref-typescript,live
microsoftdocs/console-docs,live
microsoftdocs/microsoftcollaborateportal,live
mono/skiasharp-api-docs,live
microsoftdocs/terminal,live
officedev/office-dev-program-docs,live
microsoftdocs/globalization,live
microsoftdocs/systemcenterdocs-pr,live
microsoftdocs/dataexplorer-docs-pr,live
microsoftdocs/typography,live
microsoftdocs/socrates-pr,live
microsoftdocs/bonsai-api-java,live
microsoftdocs/licensed-hardware,live
dotnet/sqlclient-api-docs,live
azure/azure-docs-powershell-aip,live
microsoftdocs/cordovadocs,live
microsoftdocs/office-developer-ucma-voice-ref-dotnet,live
aspnet/jsapidocs,live
microsoftdocs/odata-docs,live
microsoftdocs/usql-docs-pr,live
microsoftdocs/playready,live
microsoftdocs/learnshared,live
microsoftdocs/open_specifications_top,live
microsoftdocs/mipsdk-dotnet,live
officedev/office-scripts-docs-reference,live
officedev/outlook-dev-docs,live
microsoftdocs/live-share-pr,live
microsoftdocs/officedocs-m365freelancetoolkit-pr,live
microsoftdocs/learn-certs-pr,live
microsoftdocs/dataprep-dotnet-pr,live
microsoftdocs/devops-learn-pr,live
microsoftdocs/bingmaps-docs,live
xamarin/xamarin.uitest-api-docs,live
azure/azure-docs-powershell-elasticdb,live
microsoftdocs/bonsai-api-dotnet,live
